#amostra;data;hora;cpu_em_uso;cpu_percent;kb_wr_s;mem_used;mem_free;mem_avaliable;swap_used;reservado_cache_buffer;cached;buffer
1;2020-07-05;20:02:36;6;0.09;1.62;3410212;2706564;3967804;1486080;1896868;1629456;155572
2;2020-07-05;20:02:42;6;0.09;1.63;3410752;2699520;3961176;1486080;1903372;1635796;155616
3;2020-07-05;20:02:47;6;0.09;1.62;3411100;2703292;3964940;1486080;1899252;1631684;155624
4;2020-07-05;20:02:52;6;0.09;1.62;3411312;2703124;3964784;1486080;1899208;1631624;155632
5;2020-07-05;20:02:57;6;0.09;1.62;3412844;2701752;3963368;1486080;1899048;1631576;155640
6;2020-07-05;20:03:02;0;0.09;1.64;3412368;2702016;3963788;1486080;1899260;1631656;155648
7;2020-07-05;20:03:07;7;0.09;1.65;3412356;2699336;3961128;1486080;1901952;1634324;155664
8;2020-07-05;20:03:12;3;0.09;1.65;3413372;2698184;3959988;1486080;1902088;1634452;155680
9;2020-07-05;20:03:17;3;0.09;1.65;3413892;2697932;3959680;1486080;1901820;1634316;155688
10;2020-07-05;20:03:22;3;0.09;1.65;3413708;2698008;3959832;1486080;1901928;1634284;155696
11;2020-07-05;20:03:27;3;0.09;1.65;3413896;2698016;3959780;1486080;1901732;1634212;155704
12;2020-07-05;20:03:32;3;0.09;1.65;3416532;2697676;3960368;1486080;1899436;1631908;155712
13;2020-07-05;20:03:37;3;0.09;1.65;3416588;2695868;3958708;1486080;1901188;1633492;155744
14;2020-07-05;20:03:43;3;0.09;1.65;3418392;2692984;3956060;1486080;1902268;1634696;155752
15;2020-07-05;20:03:48;0;0.09;1.65;3418348;2693524;3956704;1486080;1901772;1634076;155760
16;2020-07-05;20:03:53;3;0.09;1.65;3420208;2692020;3955164;1486080;1901416;1633796;155784
17;2020-07-05;20:03:58;3;0.09;1.65;3419708;2692424;3955640;1486080;1901512;1633768;155792
18;2020-07-05;20:04:03;4;0.09;1.65;3419172;2693064;3956224;1486080;1901408;1633796;155792
19;2020-07-05;20:04:08;4;0.09;1.64;3419992;2692052;3955284;1486080;1901600;1633844;155808
20;2020-07-05;20:04:13;4;0.09;1.64;3421520;2687104;3950292;1486080;1905020;1637380;155824
